SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
471,2319200,FABRICACAO DE ARTIGOS DE VIDRO,2023-06-03 01:16:22
472,1422300,FABRICACAO DE ARTIGOS DO VESTUARIO PRODUZIDOS EM MALHARIAS E TRICOTAGENS EXCETO MEIAS,2023-06-03 01:16:22
473,1521100,FABRICACAO DE ARTIGOS PARA VIAGEM BOLSAS E SEMELHANTES DE QUALQUER MATERIAL,2023-06-03 01:16:22
474,3299005,FABRICACAO DE AVIAMENTOS PARA COSTURA,2023-06-03 01:16:22
475,2342701,FABRICACAO DE AZULEJOS E PISOS,2023-06-03 01:16:22
476,3092000,FABRICACAO DE BICICLETAS E TRICICLOS NAO MOTORIZADOS PECAS E ACESSORIOS,2023-06-03 01:16:22
477,3212400,FABRICACAO DE BIJUTERIAS E ARTEFATOS SEMELHANTES,2023-06-03 01:16:22
478,1092900,FABRICACAO DE BISCOITOS E BOLACHAS,2023-06-03 01:16:22
479,2930101,FABRICACAO DE CABINES CARROCERIAS E REBOQUES PARA CAMINHOES,2023-06-03 01:16:22
480,2930103,FABRICACAO DE CABINES CARROCERIAS E REBOQUES PARA OUTROS VEICULOS AUTOMOTORES EXCETO CAMINHOES E ONIBUS,2023-06-03 01:16:22
481,1531901,FABRICACAO DE CALCADOS DE COURO,2023-06-03 01:16:22
482,1539400,FABRICACAO DE CALCADOS DE MATERIAIS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
483,1533500,FABRICACAO DE CALCADOS DE MATERIAL SINTETICO,2023-06-03 01:16:22
484,2920401,FABRICACAO DE CAMINHOES E ONIBUS,2023-06-03 01:16:22
485,1710900,FABRICACAO DE CELULOSE E OUTRAS PASTAS PARA A FABRICACAO DE PAPEL,2023-06-03 01:16:22
486,1113502,FABRICACAO DE CERVEJAS E CHOPES,2023-06-03 01:16:22
487,1733800,FABRICACAO DE CHAPAS E DE EMBALAGENS DE PAPELAO ONDULADO,2023-06-03 01:16:22
488,2320600,FABRICACAO DE CIMENTO,2023-06-03 01:16:22
489,2011800,FABRICACAO DE CLORO E ALCALIS,2023-06-03 01:16:22
490,2814301,FABRICACAO DE COMPRESSORES PARA USO INDUSTRIAL PECAS E ACESSORIOS,2023-06-03 01:16:22
491,1031700,FABRICACAO DE CONSERVAS DE FRUTAS,2023-06-03 01:16:22
492,1032599,FABRICACAO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS EXCETO PALMITO,2023-06-03 01:16:22
493,2063100,FABRICACAO DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL,2023-06-03 01:16:22
494,1732000,FABRICACAO DE EMBALAGENS DE CARTOLINA E PAPEL CARTAO,2023-06-03 01:16:22
495,2222600,FABRICACAO DE EMBALAGENS DE MATERIAL PLASTICO,2023-06-03 01:16:22
496,1731100,FABRICACAO DE EMBALAGENS DE PAPEL,2023-06-03 01:16:22
497,2591800,FABRICACAO DE EMBALAGENS METALICAS,2023-06-03 01:16:22
498,2621300,FABRICACAO DE EQUIPAMENTOS DE INFORMATICA,2023-06-03 01:16:22
499,2631100,FABRICACAO DE EQUIPAMENTOS TRANSMISSORES DE COMUNICACAO PECAS E ACESSORIOS,2023-06-03 01:16:22
500,3291400,FABRICACAO DE ESCOVAS PINCEIS E VASSOURAS,2023-06-03 01:16:22
501,1095300,FABRICACAO DE ESPECIARIAS MOLHOS TEMPEROS E CONDIMENTOS,2023-06-03 01:16:22
502,2512800,FABRICACAO DE ESQUADRIAS DE METAL,2023-06-03 01:16:22
503,2511000,FABRICACAO DE ESTRUTURAS METALICAS,2023-06-03 01:16:22
504,2330301,FABRICACAO DE ESTRUTURAS PRE MOLDADAS DE CONCRETO ARMADO EM SERIE E SOB ENCOMENDA,2023-06-03 01:16:22
505,1063500,FABRICACAO DE FARINHA DE MANDIOCA E DERIVADOS,2023-06-03 01:16:22
506,1064300,FABRICACAO DE FARINHA DE MILHO E DERIVADOS EXCETO OLEOS DE MILHO,2023-06-03 01:16:22
507,2543800,FABRICACAO DE FERRAMENTAS,2023-06-03 01:16:22
508,2751100,FABRICACAO DE FOGOES REFRIGERADORES E MAQUINAS DE LAVAR E SECAR PARA USO DOMESTICO PECAS E ACESSORIOS,2023-06-03 01:16:22
509,1741901,FABRICACAO DE FORMULARIOS CONTINUOS,2023-06-03 01:16:22
510,2821601,FABRICACAO DE FORNOS INDUSTRIAIS APARELHOS E EQUIPAMENTOS NAO ELETRICOS PARA INSTALACOES TERMICAS PECAS E ACESSORIOS,2023-06-03 01:16:22
511,1093702,FABRICACAO DE FRUTAS CRISTALIZADAS BALAS E SEMELHANTES,2023-06-03 01:16:22
512,1099604,FABRICACAO DE GELO COMUM,2023-06-03 01:16:22
513,2710401,FABRICACAO DE GERADORES DE CORRENTE CONTINUA E ALTERNADA PECAS E ACESSORIOS,2023-06-03 01:16:22
514,3220500,FABRICACAO DE INSTRUMENTOS MUSICAIS PECAS E ACESSORIOS,2023-06-03 01:16:22
515,3250701,FABRICACAO DE INSTRUMENTOS NAO ELETRONICOS E UTENSILIOS PARA USO MEDICO CIRURGICO ODONTOLOGICO E DE LABORATORIO,2023-06-03 01:16:22
516,2022300,FABRICACAO DE INTERMEDIARIOS PARA PLASTIFICANTES RESINAS E FIBRAS,2023-06-03 01:16:22
517,1052000,FABRICACAO DE LATICINIOS,2023-06-03 01:16:22
518,3299003,FABRICACAO DE LETRAS LETREIROS E PLACAS DE QUALQUER MATERIAL EXCETO LUMINOSOS,2023-06-03 01:16:22
519,2740602,FABRICACAO DE LUMINARIAS E OUTROS EQUIPAMENTOS DE ILUMINACAO,2023-06-03 01:16:22
520,1621800,FABRICACAO DE MADEIRA LAMINADA E DE CHAPAS DE MADEIRA COMPENSADA PRENSADA E AGLOMERADA,2023-06-03 01:16:22
521,2823200,FABRICACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL PECAS E ACESSORIOS,2023-06-03 01:16:22
522,2833000,FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA A AGRICULTURA E PECUARIA PECAS E ACESSORIOS EXCETO PARA IRRIGACAO,2023-06-03 01:16:22
523,2862300,FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA AS INDUSTRIAS DE ALIMENTOS BEBIDAS E FUMO PECAS E ACESSORIOS,2023-06-03 01:16:22
524,2854200,FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA TERRAPLENAGEM PAVIMENTACAO E CONSTRUCAO PECAS E ACESSORIOS EXCETO TRATORES,2023-06-03 01:16:22
525,2869100,FABRICACAO DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL ESPECIFICO NAO ESPECIFICADOS ANTERIORMENTE PECAS E ACESSORIOS,2023-06-03 01:16:22
526,2822402,FABRICACAO DE MAQUINAS EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVACAO DE CARGAS PECAS E ACESSORIOS,2023-06-03 01:16:22
527,2840200,FABRICACAO DE MAQUINAS FERRAMENTA PECAS E ACESSORIOS,2023-06-03 01:16:22
528,1094500,FABRICACAO DE MASSAS ALIMENTICIAS,2023-06-03 01:16:22
529,2945000,FABRICACAO DE MATERIAL ELETRICO E ELETRONICO PARA VEICULOS AUTOMOTORES EXCETO BATERIAS,2023-06-03 01:16:22
530,2732500,FABRICACAO DE MATERIAL ELETRICO PARA INSTALACOES EM CIRCUITO DE CONSUMO,2023-06-03 01:16:22
531,2121101,FABRICACAO DE MEDICAMENTOS ALOPATICOS PARA USO HUMANO,2023-06-03 01:16:22
532,1421500,FABRICACAO DE MEIAS,2023-06-03 01:16:22
533,2811900,FABRICACAO DE MOTORES E TURBINAS PECAS E ACESSORIOS EXCETO PARA AVIOES E VEICULOS RODOVIARIOS,2023-06-03 01:16:22
534,3101200,FABRICACAO DE MOVEIS COM PREDOMINANCIA DE MADEIRA,2023-06-03 01:16:22
535,3103900,FABRICACAO DE MOVEIS DE OUTROS MATERIAIS EXCETO MADEIRA E METAL,2023-06-03 01:16:22
536,2513600,FABRICACAO DE OBRAS DE CALDEIRARIA PESADA,2023-06-03 01:16:22
537,1041400,FABRICACAO DE OLEOS VEGETAIS EM BRUTO EXCETO OLEO DE MILHO,2023-06-03 01:16:22
538,1042200,FABRICACAO DE OLEOS VEGETAIS REFINADOS EXCETO OLEO DE MILHO,2023-06-03 01:16:22
539,1122499,FABRICACAO DE OUTRAS BEBIDAS NAO ALCOOLICAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
540,2829199,FABRICACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS DE USO GERAL NAO ESPECIFICADOS ANTERIORMENTE PECAS E ACESSORIOS,2023-06-03 01:16:22
541,2949299,FABRICACAO DE OUTRAS PECAS E ACESSORIOS PARA VEICULOS AUTOMOTORES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
542,2330399,FABRICACAO DE OUTROS ARTEFATOS E PRODUTOS DE CONCRETO CIMENTO FIBROCIMENTO GESSO E MATERIAIS SEMELHANTES,2023-06-03 01:16:22
543,1622699,FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO,2023-06-03 01:16:22
544,3240099,FABRICACAO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
545,2790299,FABRICACAO DE OUTROS EQUIPAMENTOS E APARELHOS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
546,1099699,FABRICACAO DE OUTROS PRODUTOS ALIMENTICIOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
547,2599399,FABRICACAO DE OUTROS PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
548,2019399,FABRICACAO DE OUTROS PRODUTOS QUIMICOS INORGANICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
549,2099199,FABRICACAO DE OUTROS PRODUTOS QUIMICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
550,1359600,FABRICACAO DE OUTROS PRODUTOS TEXTEIS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
551,3299004,FABRICACAO DE PAINEIS E LETREIROS LUMINOSOS,2023-06-03 01:16:22
552,1540800,FABRICACAO DE PARTES PARA CALCADOS DE QUALQUER MATERIAL,2023-06-03 01:16:22
553,2943300,FABRICACAO DE PECAS E ACESSORIOS PARA O SISTEMA DE FREIOS DE VEICULOS AUTOMOTORES,2023-06-03 01:16:22
554,2941700,FABRICACAO DE PECAS E ACESSORIOS PARA O SISTEMA MOTOR DE VEICULOS AUTOMOTORES,2023-06-03 01:16:22
555,2622100,FABRICACAO DE PERIFERICOS PARA EQUIPAMENTOS DE INFORMATICA,2023-06-03 01:16:22
556,2349499,FABRICACAO DE PRODUTOS CERAMICOS NAO REFRATARIOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
557,2341900,FABRICACAO DE PRODUTOS CERAMICOS REFRATARIOS,2023-06-03 01:16:22
558,1013901,FABRICACAO DE PRODUTOS DE CARNE,2023-06-03 01:16:22
559,2062200,FABRICACAO DE PRODUTOS DE LIMPEZA E POLIMENTO,2023-06-03 01:16:22
560,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA,2023-06-03 01:16:22
561,1091102,FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA DISPENSADA,2023-06-03 01:16:22
562,1091101,FABRICACAO DE PRODUTOS DE PANIFICACAO INDUSTRIAL,2023-06-03 01:16:22
563,1749400,FABRICACAO DE PRODUTOS DE PASTAS CELULOSICAS PAPEL CARTOLINA PAPEL CARTAO E PAPELAO ONDULADO NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
564,2592601,FABRICACAO DE PRODUTOS DE TREFILADOS DE METAL PADRONIZADOS,2023-06-03 01:16:22
565,1093701,FABRICACAO DE PRODUTOS DERIVADOS DO CACAU E DE CHOCOLATES,2023-06-03 01:16:22
566,3299099,FABRICACAO DE PRODUTOS DIVERSOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
567,1921700,FABRICACAO DE PRODUTOS DO REFINO DE PETROLEO,2023-06-03 01:16:22
568,2110600,FABRICACAO DE PRODUTOS FARMOQUIMICOS,2023-06-03 01:16:22
569,2021500,FABRICACAO DE PRODUTOS PETROQUIMICOS BASICOS,2023-06-03 01:16:22
570,1053800,FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS,2023-06-03 01:16:22
571,1033302,FABRICACAO DE SUCOS DE FRUTAS HORTALICAS E LEGUMES EXCETO CONCENTRADOS,2023-06-03 01:16:22
572,1354500,FABRICACAO DE TECIDOS ESPECIAIS INCLUSIVE ARTEFATOS,2023-06-03 01:16:22
573,2071100,FABRICACAO DE TINTAS VERNIZES ESMALTES E LACAS,2023-06-03 01:16:22
574,3042300,FABRICACAO DE TURBINAS MOTORES E OUTROS COMPONENTES E PECAS PARA AERONAVES,2023-06-03 01:16:22
575,2813500,FABRICACAO DE VALVULAS REGISTROS E DISPOSITIVOS SEMELHANTES PECAS E ACESSORIOS,2023-06-03 01:16:22
576,3299006,FABRICACAO DE VELAS INCLUSIVE DECORATIVAS,2023-06-03 01:16:22
577,1112700,FABRICACAO DE VINHO,2023-06-03 01:16:22
578,1412603,FACCAO DE PECAS DO VESTUARIO EXCETO ROUPAS INTIMAS,2023-06-03 01:16:22
579,1411802,FACCAO DE ROUPAS INTIMAS,2023-06-03 01:16:22
580,1413403,FACCAO DE ROUPAS PROFISSIONAIS,2023-06-03 01:16:22
581,1313800,FIACAO DE FIBRAS ARTIFICIAIS E SINTETICAS,2023-06-03 01:16:22
582,7420004,FILMAGEM DE FESTAS E EVENTOS,2023-06-03 01:16:22
583,8599601,FORMACAO DE CONDUTORES,2023-06-03 01:16:22
584,5620104,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,2023-06-03 01:16:22
585,5620104,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR DISPENSADA,2023-06-03 01:16:22
586,5620101,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS,2023-06-03 01:16:22
587,7830200,FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS,2023-06-03 01:16:22
588,8219901,FOTOCOPIAS,2023-06-03 01:16:22
589,1011201,FRIGORIFICO ABATE DE BOVINOS,2023-06-03 01:16:22
590,1012103,FRIGORIFICO ABATE DE SUINOS,2023-06-03 01:16:22
591,2451200,FUNDICAO DE FERRO E ACO,2023-06-03 01:16:22
592,6470101,FUNDOS DE INVESTIMENTO EXCETO PREVIDENCIARIOS E IMOBILIARIOS,2023-06-03 01:16:22
593,6470103,FUNDOS DE INVESTIMENTO IMOBILIARIOS,2023-06-03 01:16:22
594,6470102,FUNDOS DE INVESTIMENTO PREVIDENCIARIOS,2023-06-03 01:16:22
595,3511501,GERACAO DE ENERGIA ELETRICA,2023-06-03 01:16:22
596,7740300,GESTAO DE ATIVOS INTANGIVEIS NAO FINANCEIROS,2023-06-03 01:16:22
597,9311500,GESTAO DE INSTALACOES DE ESPORTES,2023-06-03 01:16:22
598,6822600,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA,2023-06-03 01:16:22
599,6822600,GESTAO E ADMINISTRACAO DA PROPRIEDADE IMOBILIARIA DISPENSADA,2023-06-03 01:16:22
600,9603301,GESTAO E MANUTENCAO DE CEMITERIOS,2023-06-03 01:16:22
601,5211702,GUARDA MOVEIS,2023-06-03 01:16:22
602,9609208,HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMESTICOS,2023-06-03 01:16:22
603,6461100,HOLDINGS DE INSTITUICOES FINANCEIRAS,2023-06-03 01:16:22
604,6462000,HOLDINGS DE INSTITUICOES NAO FINANCEIRAS,2023-06-03 01:16:22
605,6462000,HOLDINGS DE INSTITUICOES NAO FINANCEIRAS DISPENSADA,2023-06-03 01:16:22
606,121101,HORTICULTURA EXCETO MORANGO,2023-06-03 01:16:22
607,5510801,HOTEIS,2023-06-03 01:16:22
608,1812100,IMPRESSAO DE MATERIAL DE SEGURANCA,2023-06-03 01:16:22
609,1813099,IMPRESSAO DE MATERIAL PARA OUTROS USOS,2023-06-03 01:16:22
610,1813001,IMPRESSAO DE MATERIAL PARA USO PUBLICITARIO,2023-06-03 01:16:22
611,8122200,IMUNIZACAO E CONTROLE DE PRAGAS URBANAS,2023-06-03 01:16:22
612,4110700,INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS,2023-06-03 01:16:22
613,4110700,INCORPORACAO DE EMPREENDIMENTOS IMOBILIARIOS DISPENSADA,2023-06-03 01:16:22
614,3321000,INSTALACAO DE MAQUINAS E EQUIPAMENTOS INDUSTRIAIS,2023-06-03 01:16:22
615,3329599,INSTALACAO DE OUTROS EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
616,4329101,INSTALACAO DE PAINEIS PUBLICITARIOS,2023-06-03 01:16:22
617,4330402,INSTALACAO DE PORTAS JANELAS TETOS DIVISORIAS E ARMARIOS EMBUTIDOS DE QUALQUER MATERIAL,2023-06-03 01:16:22
618,4322302,INSTALACAO E MANUTENCAO DE SISTEMAS CENTRAIS DE AR CONDICIONADO DE VENTILACAO E REFRIGERACAO,2023-06-03 01:16:22
619,4321500,INSTALACAO E MANUTENCAO ELETRICA,2023-06-03 01:16:22
620,4329103,INSTALACAO MANUTENCAO E REPARACAO DE ELEVADORES ESCADAS E ESTEIRAS ROLANTES,2023-06-03 01:16:22
621,4322303,INSTALACOES DE SISTEMA DE PREVENCAO CONTRA INCENDIO,2023-06-03 01:16:22
622,4322301,INSTALACOES HIDRAULICAS SANITARIAS E DE GAS,2023-06-03 01:16:22
623,4322301,INSTALACOES HIDRAULICAS SANITARIAS E DE GAS DISPENSADA,2023-06-03 01:16:22
624,8711502,INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS,2023-06-03 01:16:22
625,8423000,JUSTICA,2023-06-03 01:16:22
626,8640202,LABORATORIOS CLINICOS,2023-06-03 01:16:22
627,8640201,LABORATORIOS DE ANATOMIA PATOLOGICA E CITOLOGICA,2023-06-03 01:16:22
628,7420003,LABORATORIOS FOTOGRAFICOS,2023-06-03 01:16:22
629,5611203,LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES,2023-06-03 01:16:22
630,5611203,LANCHONETES CASAS DE CHA DE SUCOS E SIMILARES DISPENSADA,2023-06-03 01:16:22
631,3211601,LAPIDACAO DE GEMAS,2023-06-03 01:16:22
632,9601701,LAVANDERIAS,2023-06-03 01:16:22
633,8121400,LIMPEZA EM PREDIOS E EM DOMICILIOS,2023-06-03 01:16:22
634,7711000,LOCACAO DE AUTOMOVEIS SEM CONDUTOR,2023-06-03 01:16:22
635,7820500,LOCACAO DE MAO DE OBRA TEMPORARIA,2023-06-03 01:16:22
636,7719599,LOCACAO DE OUTROS MEIOS DE TRANSPORTE NAO ESPECIFICADOS ANTERIORMENTE SEM CONDUTOR,2023-06-03 01:16:22
637,4713004,LOJAS DE DEPARTAMENTOS OU MAGAZINES EXCETO LOJAS FRANCAS DUTY FREE,2023-06-03 01:16:22
638,4713002,LOJAS DE VARIEDADES EXCETO LOJAS DE DEPARTAMENTOS OU MAGAZINES,2023-06-03 01:16:22
639,6810203,LOTEAMENTO DE IMOVEIS PROPRIOS,2023-06-03 01:16:22
640,6810203,LOTEAMENTO DE IMOVEIS PROPRIOS DISPENSADA,2023-06-03 01:16:22
641,4221903,MANUTENCAO DE REDES DE DISTRIBUICAO DE ENERGIA ELETRICA,2023-06-03 01:16:22
642,3312102,MANUTENCAO E REPARACAO DE APARELHOS E INSTRUMENTOS DE MEDIDA TESTE E CONTROLE,2023-06-03 01:16:22
643,3312103,MANUTENCAO E REPARACAO DE APARELHOS ELETROMEDICOS E ELETROTERAPEUTICOS E EQUIPAMENTOS DE IRRADIACAO,2023-06-03 01:16:22
644,3314705,MANUTENCAO E REPARACAO DE EQUIPAMENTOS DE TRANSMISSAO PARA FINS INDUSTRIAIS,2023-06-03 01:16:22
645,3319800,MANUTENCAO E REPARACAO DE EQUIPAMENTOS E PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
646,3314702,MANUTENCAO E REPARACAO DE EQUIPAMENTOS HIDRAULICOS E PNEUMATICOS EXCETO VALVULAS,2023-06-03 01:16:22
647,3313901,MANUTENCAO E REPARACAO DE GERADORES TRANSFORMADORES E MOTORES ELETRICOS,2023-06-03 01:16:22
648,3314706,MANUTENCAO E REPARACAO DE MAQUINAS APARELHOS E EQUIPAMENTOS PARA INSTALACOES TERMICAS,2023-06-03 01:16:22
649,3313999,MANUTENCAO E REPARACAO DE MAQUINAS APARELHOS E MATERIAIS ELETRICOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
650,3314707,MANUTENCAO E REPARACAO DE MAQUINAS E APARELHOS DE REFRIGERACAO E VENTILACAO PARA USO INDUSTRIAL E COMERCIAL,2023-06-03 01:16:22
651,3314720,MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA A INDUSTRIA TEXTIL DO VESTUARIO DO COURO E CALCADOS,2023-06-03 01:16:22
652,3314711,MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AGRICULTURA E PECUARIA,2023-06-03 01:16:22
653,3314719,MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA AS INDUSTRIAS DE ALIMENTOS BEBIDAS E FUMO,2023-06-03 01:16:22
654,3314710,MANUTENCAO E REPARACAO DE MAQUINAS E EQUIPAMENTOS PARA USO GERAL NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
655,3314708,MANUTENCAO E REPARACAO DE MAQUINAS EQUIPAMENTOS E APARELHOS PARA TRANSPORTE E ELEVACAO DE CARGAS,2023-06-03 01:16:22
656,3314713,MANUTENCAO E REPARACAO DE MAQUINAS FERRAMENTA,2023-06-03 01:16:22
657,4543900,MANUTENCAO E REPARACAO DE MOTOCICLETAS E MOTONETAS,2023-06-03 01:16:22
658,3314799,MANUTENCAO E REPARACAO DE OUTRAS MAQUINAS E EQUIPAMENTOS PARA USOS INDUSTRIAIS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
659,3311200,MANUTENCAO E REPARACAO DE TANQUES RESERVATORIOS METALICOS E CALDEIRAS EXCETO PARA VEICULOS,2023-06-03 01:16:22
660,7319003,MARKETING DIRETO,2023-06-03 01:16:22
661,7319003,MARKETING DIRETO DISPENSADA,2023-06-03 01:16:22
662,8299701,MEDICAO DE CONSUMO DE ENERGIA ELETRICA GAS E AGUA,2023-06-03 01:16:22
663,2449199,METALURGIA DE OUTROS METAIS NAO FERROSOS E SUAS LIGAS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
664,2443100,METALURGIA DO COBRE,2023-06-03 01:16:22
665,1062700,MOAGEM DE TRIGO E FABRICACAO DE DERIVADOS,2023-06-03 01:16:22
666,1069400,MOAGEM E FABRICACAO DE PRODUTOS DE ORIGEM VEGETAL NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
667,4292801,MONTAGEM DE ESTRUTURAS METALICAS,2023-06-03 01:16:22
668,4399102,MONTAGEM E DESMONTAGEM DE ANDAIMES E OUTRAS ESTRUTURAS TEMPORARIAS,2023-06-03 01:16:22
669,4329104,MONTAGEM E INSTALACAO DE SISTEMAS E EQUIPAMENTOS DE ILUMINACAO E SINALIZACAO EM VIAS PUBLICAS PORTOS E AEROPORTOS,2023-06-03 01:16:22
670,5510803,MOTEIS,2023-06-03 01:16:22
671,5030101,NAVEGACAO DE APOIO MARITIMO,2023-06-03 01:16:22
672,4330403,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE,2023-06-03 01:16:22
673,4399103,OBRAS DE ALVENARIA,2023-06-03 01:16:22
674,4391600,OBRAS DE FUNDACOES,2023-06-03 01:16:22
675,4313400,OBRAS DE TERRAPLENAGEM,2023-06-03 01:16:22
676,4213800,OBRAS DE URBANIZACAO RUAS PRACAS E CALCADAS,2023-06-03 01:16:22
677,5250805,OPERADOR DE TRANSPORTE MULTIMODAL OTM,2023-06-03 01:16:22
678,7912100,OPERADORES TURISTICOS,2023-06-03 01:16:22
679,4929903,ORGANIZACAO DE EXCURSOES EM VEICULOS RODOVIARIOS PROPRIOS MUNICIPAL,2023-06-03 01:16:22
680,5250804,ORGANIZACAO LOGISTICA DO TRANSPORTE DE CARGA,2023-06-03 01:16:22
681,9412099,OUTRAS ATIVIDADES ASSOCIATIVAS PROFISSIONAIS,2023-06-03 01:16:22
682,6619399,OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
683,5229099,OUTRAS ATIVIDADES AUXILIARES DOS TRANSPORTES TERRESTRES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
684,8690999,OUTRAS ATIVIDADES DE ATENCAO A SAUDE HUMANA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
685,8599699,OUTRAS ATIVIDADES DE ENSINO NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
686,6399200,OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
687,7319099,OUTRAS ATIVIDADES DE PUBLICIDADE NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
688,9329899,OUTRAS ATIVIDADES DE RECREACAO E LAZER NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
689,8020002,OUTRAS ATIVIDADES DE SERVICOS DE SEGURANCA,2023-06-03 01:16:22
690,6499999,OUTRAS ATIVIDADES DE SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
691,9609299,OUTRAS ATIVIDADES DE SERVICOS PESSOAIS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
692,8299799,OUTRAS ATIVIDADES DE SERVICOS PRESTADOS PRINCIPALMENTE AS EMPRESAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
693,6190699,OUTRAS ATIVIDADES DE TELECOMUNICACOES NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
694,9319199,OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
695,7490199,OUTRAS ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
696,7490199,OUTRAS ATIVIDADES PROFISSIONAIS CIENTIFICAS E TECNICAS NAO ESPECIFICADAS ANTERIORMENTE DISPENSADA,2023-06-03 01:16:22
697,4330499,OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO,2023-06-03 01:16:22
698,4299599,OUTRAS OBRAS DE ENGENHARIA CIVIL NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
699,6463800,OUTRAS SOCIEDADES DE PARTICIPACAO EXCETO HOLDINGS,2023-06-03 01:16:22
