SK1_cnae_principal,Soma de cod_cnae_principal,dsc_cnae_principal,dt_carga
84,9493600,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS LIGADAS A CULTURA E A ARTE,2023-06-03 01:16:22
85,9411100,ATIVIDADES DE ORGANIZACOES ASSOCIATIVAS PATRONAIS E EMPRESARIAIS,2023-06-03 01:16:22
86,9492800,ATIVIDADES DE ORGANIZACOES POLITICAS,2023-06-03 01:16:22
87,9491000,ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS,2023-06-03 01:16:22
88,9420100,ATIVIDADES DE ORGANIZACOES SINDICAIS,2023-06-03 01:16:22
89,163600,ATIVIDADES DE POS COLHEITA,2023-06-03 01:16:22
90,5912099,ATIVIDADES DE POS PRODUCAO CINEMATOGRAFICA DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
91,8690901,ATIVIDADES DE PRATICAS INTEGRATIVAS E COMPLEMENTARES EM SAUDE HUMANA,2023-06-03 01:16:22
92,5911199,ATIVIDADES DE PRODUCAO CINEMATOGRAFICA DE VIDEOS E DE PROGRAMAS DE TELEVISAO NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
93,7420002,ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS AEREAS E SUBMARINAS,2023-06-03 01:16:22
94,7420001,ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS EXCETO AEREA E SUBMARINA,2023-06-03 01:16:22
95,7420001,ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS EXCETO AEREA E SUBMARINA DISPENSADA,2023-06-03 01:16:22
96,8650099,ATIVIDADES DE PROFISSIONAIS DA AREA DE SAUDE NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
97,8650002,ATIVIDADES DE PROFISSIONAIS DA NUTRICAO,2023-06-03 01:16:22
98,8650002,ATIVIDADES DE PROFISSIONAIS DA NUTRICAO DISPENSADA,2023-06-03 01:16:22
99,8650003,ATIVIDADES DE PSICOLOGIA E PSICANALISE,2023-06-03 01:16:22
100,8650003,ATIVIDADES DE PSICOLOGIA E PSICANALISE DISPENSADA,2023-06-03 01:16:22
101,6010100,ATIVIDADES DE RADIO,2023-06-03 01:16:22
102,8640299,ATIVIDADES DE SERVICOS DE COMPLEMENTACAO DIAGNOSTICA E TERAPEUTICA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
103,9001906,ATIVIDADES DE SONORIZACAO E DE ILUMINACAO,2023-06-03 01:16:22
104,8220200,ATIVIDADES DE TELEATENDIMENTO,2023-06-03 01:16:22
105,8220200,ATIVIDADES DE TELEATENDIMENTO DISPENSADA,2023-06-03 01:16:22
106,8011101,ATIVIDADES DE VIGILANCIA E SEGURANCA PRIVADA,2023-06-03 01:16:22
107,5310501,ATIVIDADES DO CORREIO NACIONAL,2023-06-03 01:16:22
108,5231102,ATIVIDADES DO OPERADOR PORTUARIO,2023-06-03 01:16:22
109,9603399,ATIVIDADES FUNERARIAS E SERVICOS RELACIONADOS NAO ESPECIFICADOS ANTERIORMENTE,2023-06-03 01:16:22
110,8130300,ATIVIDADES PAISAGISTICAS,2023-06-03 01:16:22
111,3702900,ATIVIDADES RELACIONADAS A ESGOTO EXCETO A GESTAO DE REDES,2023-06-03 01:16:22
112,7119799,ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE,2023-06-03 01:16:22
113,7500100,ATIVIDADES VETERINARIAS,2023-06-03 01:16:22
114,7500100,ATIVIDADES VETERINARIAS DISPENSADA,2023-06-03 01:16:22
115,6621502,AUDITORIA E CONSULTORIA ATUARIAL,2023-06-03 01:16:22
116,6421200,BANCOS COMERCIAIS,2023-06-03 01:16:22
117,6432800,BANCOS DE INVESTIMENTO,2023-06-03 01:16:22
118,6422100,BANCOS MULTIPLOS COM CARTEIRA COMERCIAL,2023-06-03 01:16:22
119,6422100,BANCOS MULTIPLOS COM CARTEIRA COMERCIAL DISPENSADA,2023-06-03 01:16:22
120,6431000,BANCOS MULTIPLOS SEM CARTEIRA COMERCIAL,2023-06-03 01:16:22
121,5611205,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS COM ENTRETENIMENTO,2023-06-03 01:16:22
122,5611204,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS SEM ENTRETENIMENTO,2023-06-03 01:16:22
123,1061901,BENEFICIAMENTO DE ARROZ,2023-06-03 01:16:22
124,6611803,BOLSA DE MERCADORIAS E FUTUROS,2023-06-03 01:16:22
125,2391501,BRITAMENTO DE PEDRAS EXCETO ASSOCIADO A EXTRACAO,2023-06-03 01:16:22
126,9602501,CABELEIREIROS MANICURE E PEDICURE,2023-06-03 01:16:22
127,6423900,CAIXAS ECONOMICAS,2023-06-03 01:16:22
128,5590602,CAMPINGS,2023-06-03 01:16:22
129,5620103,CANTINAS SERVICOS DE ALIMENTACAO PRIVATIVOS,2023-06-03 01:16:22
130,3600601,CAPTACAO TRATAMENTO E DISTRIBUICAO DE AGUA,2023-06-03 01:16:22
131,5212500,CARGA E DESCARGA,2023-06-03 01:16:22
132,6912500,CARTORIOS,2023-06-03 01:16:22
133,8230002,CASAS DE FESTAS E EVENTOS,2023-06-03 01:16:22
134,8299706,CASAS LOTERICAS,2023-06-03 01:16:22
135,9529102,CHAVEIROS,2023-06-03 01:16:22
136,8711501,CLINICAS E RESIDENCIAS GERIATRICAS,2023-06-03 01:16:22
137,6499901,CLUBES DE INVESTIMENTO,2023-06-03 01:16:22
138,9312300,CLUBES SOCIAIS ESPORTIVOS E SIMILARES,2023-06-03 01:16:22
139,220904,COLETA DE LATEX EM FLORESTAS NATIVAS,2023-06-03 01:16:22
140,3811400,COLETA DE RESIDUOS NAO PERIGOSOS,2023-06-03 01:16:22
141,4511101,COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS NOVOS,2023-06-03 01:16:22
142,4511102,COMERCIO A VAREJO DE AUTOMOVEIS CAMIONETAS E UTILITARIOS USADOS,2023-06-03 01:16:22
