cnpj,razao_social,cod_acao_reduzido,cod_acao,dt_abertura,matriz_empresa,endereco_municipio,endereco_uf,endereco_regiao,situacao_cadastral,optante_simples,optante_simei,dt_carga
48026737000100,NI,NI,NI,2022-09-21 00:00:00,true,APUCARANA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48034084000100,NI,NI,NI,2022-09-21 00:00:00,true,MARILIA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48036327000140,NI,NI,NI,2022-09-21 00:00:00,true,CANGUCU,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48036544000130,NI,NI,NI,2022-09-21 00:00:00,true,ABELARDO LUZ,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48037438000170,NI,NI,NI,2022-09-21 00:00:00,true,PADRE BERNARDO,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48038917000101,NI,NI,NI,2022-09-21 00:00:00,true,IPIXUNA,AM,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
48039489000131,NI,NI,NI,2022-09-21 00:00:00,true,MARICA,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48043165000177,NI,NI,NI,2022-09-22 00:00:00,true,VAZANTE,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48043680000157,NI,NI,NI,2022-09-22 00:00:00,true,CAMPOS ALTOS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48050748000125,NI,NI,NI,2022-09-22 00:00:00,true,GUARULHOS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48058585000127,NI,NI,NI,2022-09-23 00:00:00,true,SAO BERNARDO DO CAMPO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48059960000153,NI,NI,NI,2022-09-23 00:00:00,true,UBERABA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48060727000190,NI,NI,NI,1976-09-16 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48062065000198,NI,NI,NI,2022-09-23 00:00:00,true,ANAPOLIS,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48062740000189,NI,NI,NI,2022-09-23 00:00:00,true,BARRA DO PIRAI,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48064845000177,NI,NI,NI,2022-09-23 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48065492000120,NI,NI,NI,2022-09-23 00:00:00,true,GARCA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48067435000180,NI,NI,NI,2022-09-23 00:00:00,true,CAMBUQUIRA,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48072124000109,NI,NI,NI,2022-09-24 00:00:00,true,FRANCISCO MORATO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48074537000122,NI,NI,NI,2022-09-25 00:00:00,true,CRICIUMA,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48078058000184,NI,NI,NI,2022-09-26 00:00:00,true,ARCOVERDE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48078088000190,NI,NI,NI,2022-09-26 00:00:00,true,ITUVERAVA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48084112000102,NI,NI,NI,2022-09-26 00:00:00,true,PARNAMIRIM,RN,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48084844000194,NI,NI,NI,2022-09-26 00:00:00,true,PORTO ALEGRE,RS,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48086259000123,NI,NI,NI,2022-09-26 00:00:00,true,RESENDE,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48086792000195,NI,NI,NI,2022-09-26 00:00:00,true,GENERAL CARNEIRO,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48087685000181,NI,NI,NI,2022-09-26 00:00:00,true,CANARANA,MT,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48091708000121,NI,NI,NI,2022-09-26 00:00:00,true,RIO DE JANEIRO,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48093554000107,NI,NI,NI,2022-09-27 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48095864000160,NI,NI,NI,2022-09-27 00:00:00,true,CAMPINAS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48095917000143,NI,NI,NI,2022-09-27 00:00:00,true,GOVERNADOR VALADARES,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48097045000152,NI,NI,NI,2022-09-27 00:00:00,true,FORTALEZA,CE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48098268000134,NI,NI,NI,2022-09-27 00:00:00,true,RECIFE,PE,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48102151000187,NI,NI,NI,2022-09-27 00:00:00,true,BOA VISTA DA APARECIDA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48104146000103,NI,NI,NI,2022-09-27 00:00:00,true,CATALAO,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48104307000169,NI,NI,NI,2022-09-27 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48104482000156,NI,NI,NI,2022-09-27 00:00:00,true,COTIA,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48106313000155,NI,NI,NI,2022-09-27 00:00:00,true,DIVINOPOLIS,MG,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48106433000152,NI,NI,NI,2022-09-27 00:00:00,true,SALTO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48114354000193,NI,NI,NI,2022-09-28 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48114513000150,NI,NI,NI,2022-09-28 00:00:00,true,CAJOBI,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48120710000181,NI,NI,NI,2022-09-28 00:00:00,true,PALOTINA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48121500000108,NI,NI,NI,2022-09-28 00:00:00,true,CAMPO GRANDE,MS,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48123294000175,NI,NI,NI,2022-09-28 00:00:00,true,MANAUS,AM,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
48123634000168,NI,NI,NI,2022-09-28 00:00:00,true,CURITIBA,PR,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48124202000171,NI,NI,NI,2022-09-28 00:00:00,true,SAO JOAO DO ITAPERIU,SC,SUL,ATIVA,NI,NI,2023-06-01 17:20:11
48126519000147,NI,NI,NI,2022-09-29 00:00:00,true,FEIRA DE SANTANA,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48131642000156,NI,NI,NI,2022-09-29 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48132635000179,NI,NI,NI,2022-09-29 00:00:00,true,MOGI DAS CRUZES,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48133632000150,NI,NI,NI,2022-09-29 00:00:00,true,AVARE,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48134582000125,NI,NI,NI,2022-09-29 00:00:00,true,PARATY,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48135287000193,NI,NI,NI,2022-09-29 00:00:00,true,PORTO VELHO,RO,NORTE,ATIVA,NI,NI,2023-06-01 17:20:11
48137062000176,NI,NI,NI,2022-09-29 00:00:00,true,CAMPINAS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48137506000173,NI,NI,NI,2022-09-29 00:00:00,true,JUNQUEIROPOLIS,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48139103000163,NI,NI,NI,2022-09-29 00:00:00,true,RIO DAS OSTRAS,RJ,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48140074000150,NI,NI,NI,2022-09-29 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48140459000117,NI,NI,NI,2022-09-29 00:00:00,true,SENADOR CANEDO,GO,CENTRO-OESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48145553000169,NI,NI,NI,2022-09-30 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48146620000160,NI,NI,NI,2022-09-30 00:00:00,true,SAO PAULO,SP,SUDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
48147107000193,NI,NI,NI,2022-09-30 00:00:00,true,SALVADOR,BA,NORDESTE,ATIVA,NI,NI,2023-06-01 17:20:11
