cnpj;dsc_porte;dt_carga
02115161000156;Micro;04/06/2023
02119505000103;Micro;04/06/2023
02121968000100;Pequena;04/06/2023
02135827000138;Mei;04/06/2023
02139103000162;Mei;04/06/2023
02140460000140;Pequena;04/06/2023
02149205000169;Grande;04/06/2023
02160727000242;Pequena;04/06/2023
02162616000194;Grande;04/06/2023
02164844000101;Micro;04/06/2023
02166683000349;Pequena;04/06/2023
02175402000152;Pequena;04/06/2023
02177057000196;Pequena;04/06/2023
02193750000152;Grande;04/06/2023
02217319000107;Grande;04/06/2023
02229769000101;Pequena;04/06/2023
02253813001352;Pequena;04/06/2023
02255187000108;Media;04/06/2023
02269962000176;Pequena;04/06/2023
02275698000183;Media;04/06/2023
02282282000192;Mei;04/06/2023
02284585000810;Grande;04/06/2023
02289819000146;Grande;04/06/2023
02291077000193;Grande;04/06/2023
02291357000100;Pequena;04/06/2023
02295898000106;Pequena;04/06/2023
02302101000142;Grande;04/06/2023
02310214000190;Micro;04/06/2023
02325262000151;Grande;04/06/2023
02328280000197;Grande;04/06/2023
02334077000204;Micro;04/06/2023
02339693000177;Micro;04/06/2023
02339771000133;Micro;04/06/2023
02339830000173;Mei;04/06/2023
02341871000102;Pequena;04/06/2023
02344291000160;Micro;04/06/2023
02351144000118;Grande;04/06/2023
02351877000152;Grande;04/06/2023
02352256000193;Media;04/06/2023
02357251000153;Media;04/06/2023
02365069000144;Grande;04/06/2023
02371229000168;Micro;04/06/2023
02372970000143;Pequena;04/06/2023
02384757000151;Micro;04/06/2023
02384828000116;Pequena;04/06/2023
02386905000177;Micro;04/06/2023
02387241000160;Grande;04/06/2023
02388803000190;Micro;04/06/2023
02395108000156;Micro;04/06/2023
02399052000108;Pequena;04/06/2023
02408069000265;Media;04/06/2023
02411807000142;Micro;04/06/2023
02415147000178;Micro;04/06/2023
02415583055049;Pequena;04/06/2023
02415583189592;Grande;04/06/2023
02421421000111;Grande;04/06/2023
02422580000211;Micro;04/06/2023
02429144000193;Grande;04/06/2023
02429291000163;Grande;04/06/2023
02429894000165;Pequena;04/06/2023
02434815000104;Micro;04/06/2023
02453003000106;Micro;04/06/2023
02456222000220;Micro;04/06/2023
02470454000151;Pequena;04/06/2023
02474103000119;Grande;04/06/2023
02486536000194;Micro;04/06/2023
02487846000123;Micro;04/06/2023
02502298000163;Micro;04/06/2023
02511404000175;Micro;04/06/2023
02513158000271;Media;04/06/2023
02521271000118;Micro;04/06/2023
02529197000186;Micro;04/06/2023
02547093000102;Micro;04/06/2023
02552151000188;Pequena;04/06/2023
02558157000162;Grande;04/06/2023
02561309000186;Pequena;04/06/2023
02568486000194;Pequena;04/06/2023
02580086000102;Micro;04/06/2023
02588652000114;Pequena;04/06/2023
02604860000160;Grande;04/06/2023
02605086000292;Micro;04/06/2023
02613233000195;Pequena;04/06/2023
02616320000104;Pequena;04/06/2023
02635522000195;Grande;04/06/2023
02640360000183;Mei;04/06/2023
02644085000176;Micro;04/06/2023
02651462000102;Mei;04/06/2023
02652866000102;Pequena;04/06/2023
02659648000108;Pequena;04/06/2023
02664042000152;Media;04/06/2023
02674041000199;Pequena;04/06/2023
02678808000158;Micro;04/06/2023
02679120000192;Mei;04/06/2023
02684309000173;Micro;04/06/2023
02701006000111;Micro;04/06/2023
02706078000151;Pequena;04/06/2023
02710425000110;Pequena;04/06/2023
02725843000180;Micro;04/06/2023
02737654000551;Media;04/06/2023
02737983000179;Micro;04/06/2023
02755796000118;Mei;04/06/2023
02762121000104;Grande;04/06/2023
02762124000130;Grande;04/06/2023
02765851000150;Mei;04/06/2023
02770982000126;Micro;04/06/2023
02773338000101;Mei;04/06/2023
02774766000159;Pequena;04/06/2023
02779103000127;Pequena;04/06/2023
02783795000187;Micro;04/06/2023
02790060000180;Micro;04/06/2023
02795480000150;Pequena;04/06/2023
02796775000140;Grande;04/06/2023
02799926000114;Micro;04/06/2023
02800026000140;Grande;04/06/2023
02803412000195;Grande;04/06/2023
02817735000138;Micro;04/06/2023
02835696000100;Micro;04/06/2023
02846056000197;Grande;04/06/2023
02849649000107;Media;04/06/2023
02857113000133;Pequena;04/06/2023
02860694000162;Grande;04/06/2023
02861226000102;Micro;04/06/2023
02865246000313;Grande;04/06/2023
02869010000193;Mei;04/06/2023
02872418000114;Pequena;04/06/2023
02883248000173;Pequena;04/06/2023
02886374000181;Pequena;04/06/2023
02887282000116;Micro;04/06/2023
02889318000109;Micro;04/06/2023
02891834000160;Micro;04/06/2023
02903554000124;Pequena;04/06/2023
02905110095595;Media;04/06/2023
02905206000277;Micro;04/06/2023
02912721000101;Micro;04/06/2023
02914721000132;Pequena;04/06/2023
02916265000160;Grande;04/06/2023
02916265004157;Grande;04/06/2023
02923422000164;Micro;04/06/2023
02931668000188;Media;04/06/2023
02932074000191;Grande;04/06/2023
02936975000151;Pequena;04/06/2023
02950811000189;Grande;04/06/2023
02956699000193;Media;04/06/2023
02962213000120;Micro;04/06/2023
02964111000143;Mei;04/06/2023
02965660000132;Micro;04/06/2023
02979509000153;Micro;04/06/2023
02992449000109;Grande;04/06/2023
02998301000181;Grande;04/06/2023
02998611000104;Grande;04/06/2023
