cnpj;dsc_nivel_atividade;dt_carga
02162616000194;Alto;04/06/2023
02182265000183;Medio;04/06/2023
02182519000163;Muito baixo;04/06/2023
02192305000178;Medio;04/06/2023
02193750000152;Alto;04/06/2023
02193838000174;Alto;04/06/2023
02196613000171;Muito baixo;04/06/2023
02217319000107;Alto;04/06/2023
02218272000279;Medio;04/06/2023
02218771000185;Alto;04/06/2023
02227420000130;Medio;04/06/2023
02229645000126;Muito baixo;04/06/2023
02254093005680;Medio;04/06/2023
02255187000108;Alto;04/06/2023
02262709000190;Alto;04/06/2023
02266647000195;Medio;04/06/2023
02270892000176;Alto;04/06/2023
02275687000101;Alto;04/06/2023
02290016000101;Baixo;04/06/2023
02291077000193;Alto;04/06/2023
02302101000142;Alto;04/06/2023
02304546000161;Medio;04/06/2023
02325391000140;Alto;04/06/2023
02328280000197;Alto;04/06/2023
02328787000140;Muito baixo;04/06/2023
02348910000195;Medio;04/06/2023
02351144000118;Alto;04/06/2023
02351877000152;Alto;04/06/2023
02357251000153;Alto;04/06/2023
02359572000278;Alto;04/06/2023
02365069000144;Alto;04/06/2023
02374009000198;Baixo;04/06/2023
02387241000160;Alto;04/06/2023
02394305000150;Medio;04/06/2023
02403144000114;Medio;04/06/2023
02409978000218;Medio;04/06/2023
02412379000253;Medio;04/06/2023
02414277000196;Medio;04/06/2023
02415583054824;Medio;04/06/2023
02415583130431;Muito baixo;04/06/2023
02415583178043;Medio;04/06/2023
02421421000111;Alto;04/06/2023
02422296000164;Baixo;04/06/2023
02429144000193;Alto;04/06/2023
02432878000121;Medio;04/06/2023
02436957000291;Medio;04/06/2023
02437137000133;Muito baixo;04/06/2023
02454399000106;Medio;04/06/2023
02470321000185;Medio;04/06/2023
02474103000119;Alto;04/06/2023
02474478000189;Muito baixo;04/06/2023
02503345000193;Alto;04/06/2023
02504165000126;Baixo;04/06/2023
02514606000170;Medio;04/06/2023
02533083000100;Medio;04/06/2023
02544978000140;Medio;04/06/2023
02545037000120;Alto;04/06/2023
02552151000188;Medio;04/06/2023
02552999000107;Alto;04/06/2023
02554279000261;Baixo;04/06/2023
02558157000162;Alto;04/06/2023
02559518000195;Baixo;04/06/2023
02572814000126;Medio;04/06/2023
02587927000286;Medio;04/06/2023
02589435000149;Alto;04/06/2023
02589586000105;Alto;04/06/2023
02597506000155;Medio;04/06/2023
02601205000158;Muito baixo;04/06/2023
02604860000160;Alto;04/06/2023
02610879000119;Baixo;04/06/2023
02613438000170;Medio;04/06/2023
02623721000183;Alto;04/06/2023
02635522000195;Alto;04/06/2023
02637456000192;Medio;04/06/2023
02658023000113;Alto;04/06/2023
02664042000152;Alto;04/06/2023
02667020000146;Muito baixo;04/06/2023
02667694005371;Alto;04/06/2023
02671673000107;Alto;04/06/2023
02672745000122;Alto;04/06/2023
02677887000182;Medio;04/06/2023
02681840000192;Medio;04/06/2023
02722492000154;Muito baixo;04/06/2023
02734573000174;Alto;04/06/2023
02737217000457;Medio;04/06/2023
02742127000101;Alto;04/06/2023
02742279000104;Medio;04/06/2023
02744588000113;Medio;04/06/2023
02757539000115;Medio;04/06/2023
02761137000194;Medio;04/06/2023
02761769000158;Baixo;04/06/2023
02762121000104;Alto;04/06/2023
02762124000130;Alto;04/06/2023
02764825000108;Medio;04/06/2023
02772152000138;Medio;04/06/2023
02777270000139;Medio;04/06/2023
02779028000366;Medio;04/06/2023
02780639000162;Medio;04/06/2023
02790533000140;Alto;04/06/2023
02796775000140;Alto;04/06/2023
02800026000140;Alto;04/06/2023
02803661000180;Alto;04/06/2023
02806873001193;Muito baixo;04/06/2023
02811015000165;Medio;04/06/2023
02825802000166;Baixo;04/06/2023
02831005000191;Alto;04/06/2023
02843512000145;Medio;04/06/2023
02844581000173;Medio;04/06/2023
02846056000197;Alto;04/06/2023
02850242000108;Medio;04/06/2023
02852730000146;Medio;04/06/2023
02854265000182;Medio;04/06/2023
02854582000107;Medio;04/06/2023
02860694000162;Alto;04/06/2023
02863318000121;Medio;04/06/2023
02870306000710;Medio;04/06/2023
02882393000130;Medio;04/06/2023
02883607000869;Medio;04/06/2023
02903752000198;Medio;04/06/2023
02904018000143;Medio;04/06/2023
02910510000121;Medio;04/06/2023
02912593000198;Alto;04/06/2023
02914460049087;Alto;04/06/2023
02916265000160;Alto;04/06/2023
02921040000100;Medio;04/06/2023
02921449000207;Medio;04/06/2023
02923215000100;Alto;04/06/2023
02932074000191;Alto;04/06/2023
02933103000130;Alto;04/06/2023
02936952000147;Medio;04/06/2023
02940176000159;Alto;04/06/2023
02946323000106;Baixo;04/06/2023
02950811000189;Alto;04/06/2023
02956054000150;Muito baixo;04/06/2023
02960042000108;Medio;04/06/2023
02962213000120;Medio;04/06/2023
02965906000176;Medio;04/06/2023
02970193000139;Alto;04/06/2023
02976338000109;Alto;04/06/2023
02992449000109;Alto;04/06/2023
02998301000181;Alto;04/06/2023
02998611000104;Alto;04/06/2023
03010433000116;Medio;04/06/2023
03011654000109;Medio;04/06/2023
03014553000191;Alto;04/06/2023
03020761000101;Alto;04/06/2023
03023123000136;Baixo;04/06/2023
03024184000460;Baixo;04/06/2023
03039383000108;Alto;04/06/2023
03056826000241;Medio;04/06/2023
03061027000182;Medio;04/06/2023
03064878000189;Alto;04/06/2023
03068389000103;Medio;04/06/2023
03083997000189;Muito baixo;04/06/2023
03089069000121;Medio;04/06/2023
03095410000151;Medio;04/06/2023
03105891000139;Medio;04/06/2023
03108320000158;Alto;04/06/2023
03114953000179;Alto;04/06/2023
03123818000190;Baixo;04/06/2023
03127754000103;Alto;04/06/2023
03127926000130;Alto;04/06/2023
03141208000119;Medio;04/06/2023
03152619000100;Alto;04/06/2023
03169744000122;Medio;04/06/2023
03172416000185;Alto;04/06/2023
03172577000179;Alto;04/06/2023
03176876000181;Muito baixo;04/06/2023
03185513000102;Alto;04/06/2023
03195165000154;Medio;04/06/2023
03206863000108;Inativo;04/06/2023
03207308000109;Medio;04/06/2023
03220438000173;Alto;04/06/2023
03245064000140;Alto;04/06/2023
03245075000120;Alto;04/06/2023
03245353000140;Medio;04/06/2023
03247439000101;Medio;04/06/2023
03250587000185;Medio;04/06/2023
03250691000170;Medio;04/06/2023
03256397000175;Baixo;04/06/2023
03267059000139;Medio;04/06/2023
03279550000180;Medio;04/06/2023
03292762000105;Medio;04/06/2023
03296389000233;Medio;04/06/2023
03298810000164;Medio;04/06/2023
03303999000136;Alto;04/06/2023
03315560000123;Medio;04/06/2023
03317193000105;Alto;04/06/2023
03336549000140;Alto;04/06/2023
03337214000146;Medio;04/06/2023
03341547000149;Alto;04/06/2023
03342704000130;Alto;04/06/2023
03348173000193;Medio;04/06/2023
03357473000139;Muito baixo;04/06/2023
03358858000382;Alto;04/06/2023
03365144000130;Alto;04/06/2023
03374292000110;Medio;04/06/2023
03376365000103;Medio;04/06/2023
03378521000175;Alto;04/06/2023
03383495000173;Medio;04/06/2023
03387188000160;Alto;04/06/2023
03388434000107;Alto;04/06/2023
03393533000179;Alto;04/06/2023
03394828000160;Medio;04/06/2023
03394927000141;Medio;04/06/2023
03397944000132;Medio;04/06/2023
03406682000125;Medio;04/06/2023
03409815000117;Medio;04/06/2023
03430870000199;Medio;04/06/2023
03442701000179;Muito baixo;04/06/2023
03447749000170;Medio;04/06/2023
03448572000126;Alto;04/06/2023
03455071000509;Medio;04/06/2023
03467321000199;Alto;04/06/2023
03469910000106;Medio;04/06/2023
03476486000127;Medio;04/06/2023
03478504000100;Medio;04/06/2023
03484565000180;Medio;04/06/2023
03489858000150;Medio;04/06/2023
03490344000114;Medio;04/06/2023
03491214000104;Medio;04/06/2023
03502620000117;Alto;04/06/2023
03508752000156;Medio;04/06/2023
03511337000151;Alto;04/06/2023
03530820002712;Alto;04/06/2023
03568170001137;Muito baixo;04/06/2023
03577690000134;Medio;04/06/2023
03579715000481;Alto;04/06/2023
03582120000132;Baixo;04/06/2023
03590536000100;Medio;04/06/2023
03604922000104;Alto;04/06/2023
03608415000130;Medio;04/06/2023
03608862000351;Medio;04/06/2023
