cnpj;dsc_saude_tributaria;dt_carga
02933953000138;Verde;04/06/2023
02950811000189;Vermelho;04/06/2023
02959215000160;Cinza;04/06/2023
02991150000130;Verde;04/06/2023
02991393000178;Verde;04/06/2023
02992449000109;Cinza;04/06/2023
02993677000101;Cinza;04/06/2023
02998301000181;Verde;04/06/2023
02998611000104;Vermelho;04/06/2023
02999737000195;Cinza;04/06/2023
03002339001782;Verde;04/06/2023
03004856000123;Vermelho;04/06/2023
03008527000150;Cinza;04/06/2023
03014553000191;Cinza;04/06/2023
03024740000156;Cinza;04/06/2023
03032025000165;Vermelho;04/06/2023
03035353000115;Verde;04/06/2023
03073116000149;Cinza;04/06/2023
03084097000156;Cinza;04/06/2023
03103043000190;Cinza;04/06/2023
03109755000117;Cinza;04/06/2023
03111417000110;Verde;04/06/2023
03114684000140;Cinza;04/06/2023
03121963000131;Verde;04/06/2023
03135587000134;Cinza;04/06/2023
03138148000185;Cinza;04/06/2023
03144394000140;Cinza;04/06/2023
03150678000149;Verde;04/06/2023
03150874000113;Verde;04/06/2023
03160857000167;Cinza;04/06/2023
03174563000194;Cinza;04/06/2023
03185342000111;Cinza;04/06/2023
03192199000195;Vermelho;04/06/2023
03213889000183;Cinza;04/06/2023
03218360000152;Cinza;04/06/2023
03219839001002;Ni;04/06/2023
03220438000173;Verde;04/06/2023
03239319000162;Cinza;04/06/2023
03242379000134;Verde;04/06/2023
03245259000190;Verde;04/06/2023
03249803000172;Cinza;04/06/2023
03266398000109;Cinza;04/06/2023
03273439000186;Cinza;04/06/2023
03279946000470;Cinza;04/06/2023
03301908000123;Vermelho;04/06/2023
03303999000136;Verde;04/06/2023
03325988000157;Cinza;04/06/2023
03329671000199;Verde;04/06/2023
03335863000108;Cinza;04/06/2023
03342704000130;Vermelho;04/06/2023
03345443000102;Cinza;04/06/2023
03363468000139;Verde;04/06/2023
03364789000158;Cinza;04/06/2023
03376287000147;Cinza;04/06/2023
03376846000119;Verde;04/06/2023
03378521000175;Verde;04/06/2023
03384952000144;Vermelho;04/06/2023
03393533000179;Cinza;04/06/2023
03394828000160;Cinza;04/06/2023
03402357000194;Cinza;04/06/2023
03404957000191;Verde;04/06/2023
03411193000161;Verde;04/06/2023
03421265000151;Cinza;04/06/2023
03442223000105;Vermelho;04/06/2023
03442244000112;Vermelho;04/06/2023
03444553000121;Verde;04/06/2023
03452446000145;Amarela;04/06/2023
03456763000130;Cinza;04/06/2023
03467321000199;Verde;04/06/2023
03475276000114;Verde;04/06/2023
03476486000127;Cinza;04/06/2023
03484592000152;Verde;04/06/2023
03491528000107;Cinza;04/06/2023
03494960000143;Cinza;04/06/2023
03495285000177;Vermelho;04/06/2023
03495755000100;Vermelho;04/06/2023
03495855000129;Verde;04/06/2023
03497533000119;Verde;04/06/2023
03498416000170;Cinza;04/06/2023
03528489002887;Ni;04/06/2023
03530228000181;Cinza;04/06/2023
03542142000179;Cinza;04/06/2023
03546530000128;Verde;04/06/2023
03552051000114;Vermelho;04/06/2023
03553832000123;Amarela;04/06/2023
03555442000192;Verde;04/06/2023
03558521000157;Verde;04/06/2023
03559607000102;Cinza;04/06/2023
03560328000231;Cinza;04/06/2023
03562686000100;Verde;04/06/2023
03575031000169;Vermelho;04/06/2023
03579418000193;Verde;04/06/2023
03583047000113;Vermelho;04/06/2023
