cnpj;dt_abertura;matriz_empresa;cod_cnae_principal;dsc_cnae_principal;dsc_ramo_atividade;dsc_setor;end_cep;end_municipio;end_uf;end_regiao;end_mesorregiao;situacao_cadastral;dt_carga
00135717000140;1994-08-05;true;8130300;ATIVIDADES PAISAGISTICAS;SERVICOS ADMINISTRATIVOS;SERVICOS;74911360;APARECIDA DE GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00154468000130;1983-01-20;true;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;74976090;APARECIDA DE GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00170764000125;1994-08-29;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;88015510;FLORIANOPOLIS;SC;SUL;GRANDE FLORIANOPOLIS;"ATIVA";04/06/2023
00212004000133;1994-09-14;true;4921301;TRANSPORTE RODOVIARIO COLETIVO DE PASSAGEIROS COM ITINERARIO FIXO MUNICIPAL;TRANSPORTE;SERVICOS;17780000;LUCELIA;SP;SUDESTE;PRESIDENTE PRUDENTE;"ATIVA";04/06/2023
00226218000169;1994-09-26;true;2512800;FABRICACAO DE ESQUADRIAS DE METAL;SIDERURGICA-METALURGIA;INDUSTRIA;18207320;ITAPETININGA;SP;SUDESTE;ITAPETININGA;"ATIVA";04/06/2023
00238295000139;1983-05-05;true;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;75388658;TRINDADE;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00239885000186;1994-10-10;true;4732600;COMERCIO VAREJISTA DE LUBRIFICANTES;VAREJO;COMERCIO;99999999;DIADEMA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00242184000104;1994-10-05;true;7732201;ALUGUEL DE MAQUINAS E EQUIPAMENTOS PARA CONSTRUCAO SEM OPERADOR EXCETO ANDAIMES;SERVICOS ADMINISTRATIVOS;SERVICOS;99999999;BARUERI;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00245780000130;1994-10-17;true;7420001;ATIVIDADES DE PRODUCAO DE FOTOGRAFIAS EXCETO AEREA E SUBMARINA;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;88495971;GAROPABA;SC;SUL;SUL CATARINENSE;"ATIVA";04/06/2023
00253968000120;1994-10-19;true;4313400;OBRAS DE TERRAPLENAGEM;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;11661570;CARAGUATATUBA;SP;SUDESTE;VALE DO PARAIBA PAULISTA;"ATIVA";04/06/2023
00261682000196;1994-10-05;true;6399200;OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO NAO ESPECIFICADAS ANTERIORMENTE;INDUSTRIA DIGITAL;SERVICOS;18550000;BOITUVA;SP;SUDESTE;ITAPETININGA;"ATIVA";04/06/2023
00272185000193;1994-10-18;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;22431002;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00280168000106;1994-11-01;true;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS SUPERMERCADOS;VAREJO;COMERCIO;98700972;IJUI;RS;SUL;NOROESTE RIO GRANDENSE;"ATIVA";04/06/2023
00300193000104;1994-11-16;true;8121400;LIMPEZA EM PREDIOS E EM DOMICILIOS;SERVICOS ADMINISTRATIVOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00308055000244;1997-08-01;false;4752100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;VAREJO;COMERCIO;95010060;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;"ATIVA";04/06/2023
00314904000191;1994-11-18;true;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;SERVICOS DE SAUDE;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00328207000190;1994-11-14;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;87320000;RONCADOR;PR;SUL;CENTRO OCIDENTAL PARANAENSE;"ATIVA";04/06/2023
00334608000152;1994-12-06;true;4789002;COMERCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;VAREJO;COMERCIO;85930000;NOVA SANTA ROSA;PR;SUL;OESTE PARANAENSE;"ATIVA";04/06/2023
00336701000104;1972-11-13;true;6110803;SERVICOS DE COMUNICACAO MULTIMIDIA SCM;TELECOM;SERVICOS;70610440;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00343761000146;1969-04-14;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;40080003;SALVADOR;BA;NORDESTE;METROPOLITANA DE SALVADOR;"ATIVA";04/06/2023
00343866000103;1994-12-13;true;4120400;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;58400235;CAMPINA GRANDE;PB;NORDESTE;AGRESTE PARAIBANO;"ATIVA";04/06/2023
00359742000108;1994-12-20;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;18046640;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;"ATIVA";04/06/2023
00360305046449;1971-02-03;false;6423900;CAIXAS ECONOMICAS;BENS DE CAPITAL;SERVICOS;99500000;CARAZINHO;RS;SUL;NOROESTE RIO GRANDENSE;"ATIVA";04/06/2023
00360305201436;1989-01-18;false;6423900;CAIXAS ECONOMICAS;BENS DE CAPITAL;SERVICOS;14096740;RIBEIRAO PRETO;SP;SUDESTE;RIBEIRAO PRETO;"ATIVA";04/06/2023
00360305212713;1982-11-22;false;6423900;CAIXAS ECONOMICAS;BENS DE CAPITAL;SERVICOS;97220000;FAXINAL DO SOTURNO;RS;SUL;CENTRO OCIDENTAL RIO GRANDENSE;"ATIVA";04/06/2023
00363230000115;1994-12-19;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;89037011;BLUMENAU;SC;SUL;VALE DO ITAJAI;"ATIVA";04/06/2023
00363822000137;1994-12-13;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;20260170;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00364258000177;1994-12-20;true;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;13504365;RIO CLARO;SP;SUDESTE;PIRACICABA;"ATIVA";04/06/2023
00375358000107;1994-12-09;true;4713004;LOJAS DE DEPARTAMENTOS OU MAGAZINES EXCETO LOJAS FRANCAS DUTY FREE;VAREJO;COMERCIO;28540973;CORDEIRO;RJ;SUDESTE;CENTRO FLUMINENSE;"ATIVA";04/06/2023
00377400000110;1995-01-05;true;8130300;ATIVIDADES PAISAGISTICAS;SERVICOS ADMINISTRATIVOS;SERVICOS;94190000;GRAVATAI;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
00380205000140;1995-01-05;true;2539001;SERVICOS DE USINAGEM TORNEARIA E SOLDA;SIDERURGICA-METALURGIA;INDUSTRIA;95076670;CAXIAS DO SUL;RS;SUL;NORDESTE RIO GRANDENSE;"ATIVA";04/06/2023
00394727000109;1995-01-17;true;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;VAREJO;COMERCIO;96202690;RIO GRANDE;RS;SUL;SUDESTE RIO GRANDENSE;"ATIVA";04/06/2023
00416627000128;1995-02-01;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;50020900;RECIFE;PE;NORDESTE;METROPOLITANA DE RECIFE;"ATIVA";04/06/2023
00416968000101;1995-02-01;true;6422100;BANCOS MULTIPLOS COM CARTEIRA COMERCIAL DISPENSADA;BENS DE CAPITAL;SERVICOS;30190131;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
00436042033000;2021-06-16;false;4753900;COMERCIO VAREJISTA ESPECIALIZADO DE ELETRODOMESTICOS E EQUIPAMENTOS DE AUDIO E VIDEO;VAREJO;COMERCIO;99999999;ITAQUAQUECETUBA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00438092000196;1995-02-16;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;30493180;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
00445523000141;1995-02-21;true;9319199;OUTRAS ATIVIDADES ESPORTIVAS NAO ESPECIFICADAS ANTERIORMENTE;SERVICOS DIVERSOS;SERVICOS;39520000;PORTEIRINHA;MG;SUDESTE;NORTE DE MINAS;"ATIVA";04/06/2023
00451501000356;2015-08-05;false;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS SEM MANIPULACAO DE FORMULAS;VAREJO;COMERCIO;64343000;JUAZEIRO DO PIAUI;PI;NORDESTE;CENTRO NORTE PIAUIENSE;"ATIVA";04/06/2023
00454686001324;2019-09-11;false;8640202;LABORATORIOS CLINICOS;SERVICOS DE SAUDE;SERVICOS;71931720;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00493263000180;1995-03-15;true;4755501;COMERCIO VAREJISTA DE TECIDOS;VAREJO;COMERCIO;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00499002000177;1995-03-22;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;88330768;BALNEARIO CAMBORIU;SC;SUL;VALE DO ITAJAI;"ATIVA";04/06/2023
00499427000186;1995-03-22;true;1053800;FABRICACAO DE SORVETES E OUTROS GELADOS COMESTIVEIS;BENS DE CONSUMO;INDUSTRIA;29730000;BAIXO GUANDU;ES;SUDESTE;NOROESTE ESPIRITO SANTENSE;"ATIVA";04/06/2023
00510726000174;1995-03-22;true;1821100;SERVICOS DE PRE IMPRESSAO;PAPEL E CELULOSE;INDUSTRIA;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00524133000167;1995-03-16;true;2063100;FABRICACAO DE COSMETICOS PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;QUIMICA-PETROQUIMICA;INDUSTRIA;99999999;CAJAMAR;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00524965000183;1995-03-29;true;4751201;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;VAREJO;COMERCIO;13482220;LIMEIRA;SP;SUDESTE;PIRACICABA;"ATIVA";04/06/2023
00567219000177;1995-04-26;true;4631100;COMERCIO ATACADISTA DE LEITE E LATICINIOS;ATACADO;COMERCIO;74450120;GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00570023000212;2004-06-16;false;8599601;FORMACAO DE CONDUTORES;SERVICOS DE EDUCACAO;SERVICOS;99999999;ITAPECERICA DA SERRA;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00590891000183;1995-05-08;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;29122280;VILA VELHA;ES;SUDESTE;CENTRAL ESPIRITO SANTENSE;"ATIVA";04/06/2023
00595238000107;1995-05-02;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;99999999;SAO CAETANO DO SUL;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00604821000137;1995-05-18;true;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;68515000;PARAUAPEBAS;PA;NORTE;SUDESTE PARAENSE;"ATIVA";04/06/2023
00622416000141;1995-05-25;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;88032005;FLORIANOPOLIS;SC;SUL;GRANDE FLORIANOPOLIS;"ATIVA";04/06/2023
00632906000129;1995-05-31;true;4520001;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;18051290;SOROCABA;SP;SUDESTE;MACRO METROPOLITANA PAULISTA;"ATIVA";04/06/2023
00638765000151;1995-05-26;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;36272970;ALFREDO VASCONCELOS;MG;SUDESTE;CAMPO DAS VERTENTES;"ATIVA";04/06/2023
00640409000334;1991-06-27;false;9420100;ATIVIDADES DE ORGANIZACOES SINDICAIS;SERVICOS DIVERSOS;SERVICOS;70310500;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00652506000185;1995-06-14;true;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES DISPENSADA;VAREJO;COMERCIO;37548000;CONCEICAO DOS OUROS;MG;SUDESTE;SUL SUDOESTE DE MINAS;"ATIVA";04/06/2023
00654141000128;1995-06-14;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;76380000;GOIANESIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00660501000102;1995-06-21;true;9430800;ATIVIDADES DE ASSOCIACOES DE DEFESA DE DIREITOS SOCIAIS;SERVICOS DIVERSOS;SERVICOS;73920000;IACIARA;GO;CENTRO-OESTE;LESTE GOIANO;"ATIVA";04/06/2023
00678726000188;1995-07-03;true;8520100;ENSINO MEDIO;SERVICOS DE EDUCACAO;SERVICOS;75190000;LEOPOLDO DE BULHOES;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00681725000192;1995-06-06;true;4761003;COMERCIO VAREJISTA DE ARTIGOS DE PAPELARIA;VAREJO;COMERCIO;99999999;GUARULHOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00689293000166;1995-07-10;true;5611201;RESTAURANTES E SIMILARES;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;59090450;NATAL;RN;NORDESTE;LESTE POTIGUAR;"ATIVA";04/06/2023
00689409000167;1995-07-10;true;4120400;CONSTRUCAO DE EDIFICIOS;INDUSTRIA DA CONSTRUCAO;CONSTRUCAO CIVIL;65940000;GRAJAU;MA;NORDESTE;CENTRO MARANHENSE;"ATIVA";04/06/2023
00691808000162;1983-01-27;true;9529106;REPARACAO DE JOIAS;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;71200045;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00692988000105;1983-02-17;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;70293510;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00693410000165;1995-07-11;true;1095300;FABRICACAO DE ESPECIARIAS MOLHOS TEMPEROS E CONDIMENTOS;BENS DE CONSUMO;INDUSTRIA;74853030;GOIANIA;GO;CENTRO-OESTE;CENTRO GOIANO;"ATIVA";04/06/2023
00702298000181;1995-07-13;true;4744001;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;VAREJO;COMERCIO;46430000;GUANAMBI;BA;NORDESTE;CENTRO SUL BAIANO;"ATIVA";04/06/2023
00707599000106;1995-07-19;true;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS MINIMERCADOS MERCEARIAS E ARMAZENS;VAREJO;COMERCIO;77455000;ALIANCA DO TOCANTINS;TO;NORTE;OCIDENTAL DO TOCANTINS;"ATIVA";04/06/2023
00717342000127;1995-07-12;true;1629301;FABRICACAO DE ARTEFATOS DIVERSOS DE MADEIRA EXCETO MOVEIS;BENS DE CONSUMO;INDUSTRIA;95950000;NOVA BRESCIA;RS;SUL;CENTRO ORIENTAL RIO GRANDENSE;"ATIVA";04/06/2023
00718237000102;1995-07-13;true;6920601;ATIVIDADES DE CONTABILIDADE;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;90650060;PORTO ALEGRE;RS;SUL;METROPOLITANA DE PORTO ALEGRE;"ATIVA";04/06/2023
00719369000159;1984-09-26;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;70874540;BRASILIA;DF;CENTRO-OESTE;DISTRITO FEDERAL;"ATIVA";04/06/2023
00726207000148;1995-07-25;true;4721103;COMERCIO VAREJISTA DE LATICINIOS E FRIOS;VAREJO;COMERCIO;13058311;CAMPINAS;SP;SUDESTE;CAMPINAS;"ATIVA";04/06/2023
00735995000139;1995-07-31;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;35660108;PARA DE MINAS;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
00737548000461;1997-02-18;false;131800;CULTIVO DE LARANJA;PRODUTOS DE AGROPECUARIA;AGROPECUARIA;19640000;IEPE;SP;SUDESTE;ASSIS;"ATIVA";04/06/2023
00743065000127;1995-08-07;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;22775904;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00744612000199;1995-08-03;true;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;25935442;MAGE;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00749627000140;1995-08-04;true;4744099;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;VAREJO;COMERCIO;12580000;ROSEIRA;SP;SUDESTE;VALE DO PARAIBA PAULISTA;"ATIVA";04/06/2023
00757265000139;1995-08-16;true;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;VAREJO;COMERCIO;86020360;LONDRINA;PR;SUL;NORTE CENTRAL PARANAENSE;"ATIVA";04/06/2023
00776574000156;1995-08-22;false;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;VAREJO;COMERCIO;99999999;OSASCO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00779911000169;1995-08-24;true;9529199;REPARACAO E MANUTENCAO DE OUTROS OBJETOS E EQUIPAMENTOS PESSOAIS E DOMESTICOS NAO ESPECIFICADOS ANTERIORMENTE;SERVICOS PROFISSIONAIS E TECNICOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00781727000153;1995-08-30;true;8550302;ATIVIDADES DE APOIO A EDUCACAO EXCETO CAIXAS ESCOLARES;SERVICOS DE EDUCACAO;SERVICOS;26265040;NOVA IGUACU;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00814629002380;2019-10-11;false;4754701;COMERCIO VAREJISTA DE MOVEIS;VAREJO;COMERCIO;65680000;PASSAGEM FRANCA;MA;NORDESTE;LESTE MARANHENSE;"ATIVA";04/06/2023
00815593000900;2018-12-21;false;8020001;ATIVIDADES DE MONITORAMENTO DE SISTEMAS DE SEGURANCA ELETRONICO;SERVICOS ADMINISTRATIVOS;SERVICOS;13180162;SUMARE;SP;SUDESTE;CAMPINAS;"ATIVA";04/06/2023
00821000000152;1995-08-30;true;6202300;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR CUSTOMIZAVEIS;INDUSTRIA DIGITAL;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00831155000170;1995-09-20;true;2599399;FABRICACAO DE OUTROS PRODUTOS DE METAL NAO ESPECIFICADOS ANTERIORMENTE;SIDERURGICA-METALURGIA;INDUSTRIA;11013003;SANTOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00840667000100;1995-09-05;true;8112500;CONDOMINIOS PREDIAIS;SERVICOS ADMINISTRATIVOS;SERVICOS;99999999;SAO PAULO;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00850753000196;1995-10-10;true;6203100;DESENVOLVIMENTO E LICENCIAMENTO DE PROGRAMAS DE COMPUTADOR NAO CUSTOMIZAVEIS;INDUSTRIA DIGITAL;SERVICOS;87050110;MARINGA;PR;SUL;NORTE CENTRAL PARANAENSE;"ATIVA";04/06/2023
00864214000106;1995-08-29;true;6462000;HOLDINGS DE INSTITUICOES NAO FINANCEIRAS;BENS DE CAPITAL;SERVICOS;36770901;CATAGUASES;MG;SUDESTE;ZONA DA MATA;"ATIVA";04/06/2023
00865320000295;2001-08-02;false;5620101;FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS;SERVICOS DE ALOJAMENTO/ALIMENTACAO;SERVICOS;28085310;CAMPOS DOS GOYTACAZES;RJ;SUDESTE;NORTE FLUMINENSE;"ATIVA";04/06/2023
00879995000102;1995-10-16;true;4520002;SERVICOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEICULOS AUTOMOTORES;VAREJO;COMERCIO;88352145;BRUSQUE;SC;SUL;VALE DO ITAJAI;"ATIVA";04/06/2023
00901581000132;1995-11-07;true;8513900;ENSINO FUNDAMENTAL;SERVICOS DE EDUCACAO;SERVICOS;21750160;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
00917868000150;1995-11-21;true;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;SERVICOS DIVERSOS;SERVICOS;11013162;SANTOS;SP;SUDESTE;METROPOLITANA DE SAO PAULO;"ATIVA";04/06/2023
00924429000175;1995-11-16;true;4911600;TRANSPORTE FERROVIARIO DE CARGA;TRANSPORTE;SERVICOS;30150904;BELO HORIZONTE;MG;SUDESTE;METROPOLITANA DE BELO HORIZONTE;"ATIVA";04/06/2023
00932182000210;2017-07-05;false;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;SERVICOS ADMINISTRATIVOS;SERVICOS;22441014;RIO DE JANEIRO;RJ;SUDESTE;METROPOLITANA DO RIO DE JANEIRO;"ATIVA";04/06/2023
