cod_acao_rdz;cod_acao;razao_social;dsc_setor_economico;dsc_subsetor;dsc_segmento;segmento_b3;cnpj;dt_carga
G2DI;G2DI33;G2D INVEST;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;DR3;38307135000177;04/06/2023
GAFL;GAFL-CRA02B0;GAIA AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;14876090000193;04/06/2023
GAIA;NI;GAIA SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;MB;99999999999999;04/06/2023
GASC;NI;ALL PAULISTA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;MB;99999999999999;04/06/2023
GBIO;GBIO33;BIOTOSCANA;SAÚDE;MEDICAMENTOS E OUTROS PRODUTOS;MEDICAMENTOS E OUTROS PRODUTOS;DR3;19688956000156;04/06/2023
GEPA;GEPA3, GEPA4;GER PARANAP;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;02998301000181;04/06/2023
GFSA;GFSA3;GAFISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;01545826000107;04/06/2023
GGBR;GGBR3, GGBR4;GERDAU;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;33611500000119;04/06/2023
GGPS;GGPS3;GPS;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;NM;09229201000130;04/06/2023
GMAT;GMAT3;GRUPO MATEUS;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;NM;24990777000109;04/06/2023
GNDI;GNDI3;INTERMEDICA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;19853511000184;04/06/2023
GOAU;GOAU3, GOAU4;GERDAU MET;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;92690783000109;04/06/2023
GOLL;GOLL11, GOLL4;GOL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE AÉREO;N2;06164253000187;04/06/2023
GPAR;GPAR3;CELGPAR;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;08560444000193;04/06/2023
GPCP;GPCP3, GPCP4;GPC PART;MATERIAIS BÁSICOS;QUÍMICOS;PETROQUÍMICOS;NI;02193750000152;04/06/2023
GPIV;GPIV33;GP INVEST;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;DR3;07857850000150;04/06/2023
GRAO;GRAO3;AGRIBRASIL;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;MA;18483666000103;04/06/2023
GRND;GRND3;GRENDENE;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;89850341000160;04/06/2023
GSHP;GSHP3;GENERALSHOPP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;08764621000153;04/06/2023
GUAR;GUAR3;GUARARAPES;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;NI;08402943000152;04/06/2023
HAGA;HAGA3, HAGA4;HAGA S/A;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;PRODUTOS PARA CONSTRUÇÃO;NI;30540991000166;04/06/2023
HAPV;HAPV3;HAPVIDA;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;05197443000138;04/06/2023
HBOR;HBOR3;HELBOR;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;49263189000102;04/06/2023
HBRE;HBRE3;HBR REALTY;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;14785152000151;04/06/2023
HBTS;HBTS3, HBTS5, HBTS6;HABITASUL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NI;87762563000103;04/06/2023
HETA;HETA3, HETA4;HERCULES;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;UTENSÍLIOS DOMÉSTICOS;NI;92749225000163;04/06/2023
HGTX;HGTX3;CIA HERING;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;VESTUÁRIO;NM;78876950000171;04/06/2023
HOOT;HOOT4;HOTEIS OTHON;CONSUMO CÍCLICO;HOTEIS E RESTAURANTES;HOTELARIA;NI;33200049000147;04/06/2023
HYPE;HYPE3;HYPERA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;NM;02932074000191;04/06/2023
IDNT;IDNT3;IDEIASNET;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;NI;02365069000144;04/06/2023
IDVL;IDVL3, IDVL4;INDUSVAL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N2;61024352000171;04/06/2023
IFCM;IFCM3;INFRACOMM;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;38456921000136;04/06/2023
IGBR;IGBR3;IGB S/A;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NI;43185362000107;04/06/2023
IGSN;IGSN3;IGUA SA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;MA;08159965000133;04/06/2023
IGTA;IGTA3;IGUATEMI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NM;51218147000193;04/06/2023
INEP;INEP4, INEP3;INEPAR;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NI;76627504000106;04/06/2023
INNT;INNT3;INTER SA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;MA;09611768000176;04/06/2023
INTB;INTB3;INTELBRAS;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;NM;82901000000127;04/06/2023
IRBR;IRBR3;IRBBRASIL RE;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;NM;33376989000191;04/06/2023
ITPB;NI;ITAPEBI;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
ITSA;ITSA3, ITSA4;ITAUSA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;61532644000115;04/06/2023
ITUB;ITUB3, ITUB4;ITAUUNIBANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;N1;60872504000123;04/06/2023
IVPR;IVPR4B, IVPR3B;INVEPAR;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;MB;03758318000124;04/06/2023
JALL;JALL3;JALLESMACHAD;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;NM;02635522000195;04/06/2023
JBDU;JBDU3, JBDU4;J B DUARTE;OUTROS;OUTROS;OUTROS;NI;60637238000154;04/06/2023
JBSS;JBSS3;JBS;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;CARNES E DERIVADOS;NM;02916265000160;04/06/2023
JFEN;JFEN3;JOAO FORTES;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NI;33035536000100;04/06/2023
JHSF;JHSF3;JHSF PART;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08294224000165;04/06/2023
JMCD;NI;J.MACEDO;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NI;99999999999999;04/06/2023
JOPA;JOPA3, JOPA4;JOSAPAR;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;ALIMENTOS DIVERSOS;NI;87456562000122;04/06/2023
JPSA;JPSA3;JEREISSATI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;NI;60543816000193;04/06/2023
JSLG;JSLG3;JSL;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;52548435000179;04/06/2023
KEPL;KEPL3;KEPLER WEBER;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;NI;91983056000169;04/06/2023
KLAS;KLAS3;KALLAS;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NI;09146451000106;04/06/2023
KLBN;KLBN11, KLBN3, KLBN4;KLABIN S/A;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;N2;89637490000145;04/06/2023
KRSA;KRSA3;KORA SAUDE;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;NM;13270520000166;04/06/2023
LAME;LAME3, LAME4;LOJAS AMERIC;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;N1;33014556000196;04/06/2023
LAND;LAND3;TERRASANTAPA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;40337136000106;04/06/2023
LAVV;LAVV3;LAVVI;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;26462693000128;04/06/2023
LCAM;LCAM3;LOCAMERICA;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NM;10215988000160;04/06/2023
