cod_acao_rdz;cod_acao;razao_social;dsc_setor_economico;dsc_subsetor;dsc_segmento;segmento_b3;cnpj;dt_carga
STTR;NI;STARA;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. CONSTRUÇÃO E AGRÍCOLAS;MA;99999999999999;04/06/2023
STTZ;NI;SANTHER;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NI;99999999999999;04/06/2023
SULA;SULA11, SULA3, SULA4;SUL AMERICA;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;N2;29978814000187;04/06/2023
SUZB;SUZB3;SUZANO S.A.;MATERIAIS BÁSICOS;MADEIRA E PAPEL;PAPEL E CELULOSE;NM;16404287000155;04/06/2023
TAEE;TAEE11, TAEE3, TAEE4;TAESA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;07859971000130;04/06/2023
TASA;TASA13, TASA15, TASA17, TASA3, TASA4;TAURUS ARMAS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;ARMAS E MUNIÇÕES;N2;92781335000102;04/06/2023
TCNO;TCNO3, TCNO4;TECNOSOLO;BENS INDUSTRIAIS;CONSTRUÇÃO E ENGENHARIA;ENGENHARIA CONSULTIVA;NI;33111246000190;04/06/2023
TCSA;TCSA3;TECNISA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08065557000112;04/06/2023
TECN;TECN3;TECHNOS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;09295063000197;04/06/2023
TEGA;TEGA3;TEGRA INCORP;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NI;30213493000109;04/06/2023
TEKA;TEKA3, TEKA4;TEKA;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;82636986000155;04/06/2023
TELB;TELB4, TELB3;TELEBRAS;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NI;00336701000104;04/06/2023
TEND;TEND3;TENDA;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;71476527000135;04/06/2023
TEPE;NI;TERM. PE III;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
TESA;TESA12, TESA3;TERRA SANTA;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;05799312000120;04/06/2023
TFCO;TFCO4;TRACK FIELD;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;VESTUÁRIO;N2;59418806000147;04/06/2023
TGMA;TGMA3;TEGMA;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE RODOVIÁRIO;NM;02351144000118;04/06/2023
TIET;TIET11, TIET3, TIET4;AES TIETE E;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N2;04128563000110;04/06/2023
TIMP;TIMP3;TIM PART S/A;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;02558115000121;04/06/2023
TIMS;TIMS3;TIM;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NM;02421421000111;04/06/2023
TKNO;TKNO3, TKNO4;TEKNO;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;ARTEFATOS DE FERRO E AÇO;NI;33467572000134;04/06/2023
TMPE;NI;TERMOPE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;NI;99999999999999;04/06/2023
TOTS;TOTS3;TOTVS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;53113791000122;04/06/2023
TPIS;TPIS3;TRIUNFO PART;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NM;03014553000191;04/06/2023
TRAD;TRAD3;TC;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;26345998000150;04/06/2023
TRIA;NI;TRIANGULOSOL;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
TRIS;TRIS3;TRISUL;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;08811643000127;04/06/2023
TRPL;TRPL3, TRPL4;TRAN PAULIST;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;N1;02998611000104;04/06/2023
TTEN;TTEN3;3TENTOS;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;NM;94813102000170;04/06/2023
TUPY;TUPY3;TUPY;BENS INDUSTRIAIS;MATERIAL DE TRANSPORTE;MATERIAL RODOVIÁRIO;NM;84683374000149;04/06/2023
TXRX;NI;TEX RENAUX;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;FIOS E TECIDOS;NI;99999999999999;04/06/2023
UCAS;UCAS3;UNICASA;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;MÓVEIS;NM;90441460000148;04/06/2023
UGPA;UGPA3;ULTRAPAR;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO, GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO, REFINO E DISTRIBUIÇÃO;NM;33256439000139;04/06/2023
UNID;NI;UNIDAS;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;NI;99999999999999;04/06/2023
UNIP;UNIP3, UNIP5, UNIP6;UNIPAR;MATERIAIS BÁSICOS;QUÍMICOS;QUÍMICOS DIVERSOS;NI;33958695000178;04/06/2023
UPKP;UPKP3B;UPTICK;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;MB;02162616000194;04/06/2023
USIM;USIM6, USIM5, USIM3;USIMINAS;MATERIAIS BÁSICOS;SIDERURGIA E METALURGIA;SIDERURGIA;N1;60894730000105;04/06/2023
VALE;VALE3;VALE;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;NM;33592510000154;04/06/2023
VERT;NI;VERTCIASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
VIVA;VIVA3;VIVARA S.A.;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;ACESSÓRIOS;NM;33839910000111;04/06/2023
VIVR;VIVR3;VIVER;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;NM;67571414000141;04/06/2023
VIVT;VIVT3, VIVT4;TELEF BRASIL;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;NI;02558157000162;04/06/2023
VLID;VLID3;VALID;BENS INDUSTRIAIS;SERVIÇOS DIVERSOS;SERVIÇOS DIVERSOS;NM;33113309000147;04/06/2023
VOES;NI;VIAOESTE;BENS INDUSTRIAIS;TRANSPORTE;EXPLORAÇÃO DE RODOVIAS;NI;99999999999999;04/06/2023
VSPT;VSPT3, VSPT4;FER C ATLANT;BENS INDUSTRIAIS;TRANSPORTE;TRANSPORTE FERROVIÁRIO;NI;00924429000175;04/06/2023
VULC;VULC3;VULCABRAS;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;CALÇADOS;NM;50926955000142;04/06/2023
VVAR;VVAR3;VIAVAREJO;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;NM;33041260065290;04/06/2023
WEGE;WEGE3;WEG;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MOTORES, COMPRESSORES E OUTROS;NM;84429695000111;04/06/2023
WEST;WEST3;WESTWING;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;NM;14776142000150;04/06/2023
WHRL;WHRL3;WHIRLPOOL;CONSUMO CÍCLICO;UTILIDADES DOMÉSTICAS;ELETRODOMÉSTICOS;NI;59105999000186;04/06/2023
WIZS;WIZS3;WIZ S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;NM;42278473000103;04/06/2023
WLMM;WLMM3, WLMM4;WLM IND COM;BENS INDUSTRIAIS;COMÉRCIO;MATERIAL DE TRANSPORTE;NI;33228024000151;04/06/2023
WSON;WSON33;WILSON SONS;BENS INDUSTRIAIS;TRANSPORTE;SERVIÇOS DE APOIO E ARMAZENAGEM;DR3;05721735000128;04/06/2023
WTPI;NI;WTORRE PIC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
WTVR;NI;BRPR 56 SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;NI;99999999999999;04/06/2023
YDUQ;YDUQ3;YDUQS PART;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;NM;08807432000110;04/06/2023
