cnpj;optante_simples;optante_simei;dt_carga
01078990000143;false;false;04/06/2023
01083200000118;false;false;04/06/2023
01091999000194;true;false;04/06/2023
01092686000401;false;false;04/06/2023
01104937000170;false;false;04/06/2023
01107327000120;false;false;04/06/2023
01119908000262;false;false;04/06/2023
01145350000109;true;false;04/06/2023
01156464000154;false;false;04/06/2023
01165426000249;true;false;04/06/2023
01167230000102;true;false;04/06/2023
01175596000123;false;false;04/06/2023
01181518000131;false;false;04/06/2023
01183116000176;false;false;04/06/2023
01190715000117;false;false;04/06/2023
01192145000102;true;false;04/06/2023
01201183000176;false;false;04/06/2023
01206941002788;false;false;04/06/2023
01207261000140;false;false;04/06/2023
01207843000126;false;false;04/06/2023
01209459000162;true;false;04/06/2023
01229308000176;true;false;04/06/2023
01258383001560;false;false;04/06/2023
01259681000170;true;false;04/06/2023
01264859000170;true;false;04/06/2023
01265794000188;false;false;04/06/2023
01275327000139;false;false;04/06/2023
01275777000121;false;false;04/06/2023
01280910000138;true;false;04/06/2023
01282244000177;false;false;04/06/2023
01284870000100;false;false;04/06/2023
01301391000228;false;false;04/06/2023
01303034000118;false;false;04/06/2023
01305338000386;false;false;04/06/2023
01310996000102;true;false;04/06/2023
01318816000120;true;false;04/06/2023
01345202000138;false;false;04/06/2023
01358206000150;true;false;04/06/2023
01374745000183;true;false;04/06/2023
01383961000195;true;false;04/06/2023
01384869000220;NI;NI;04/06/2023
01393994000116;false;false;04/06/2023
01403356000139;false;false;04/06/2023
01405279000237;false;false;04/06/2023
01409043000279;NI;NI;04/06/2023
01417222000177;false;false;04/06/2023
01424020000152;false;false;04/06/2023
01437408003103;false;false;04/06/2023
01437408018488;false;false;04/06/2023
01472053000178;false;false;04/06/2023
01472996000109;false;false;04/06/2023
01475924000107;true;false;04/06/2023
01493962000192;true;false;04/06/2023
01499960000100;false;false;04/06/2023
01502366000121;false;false;04/06/2023
01512926000129;false;false;04/06/2023
01515135000152;false;false;04/06/2023
01521622000128;false;false;04/06/2023
01532194000139;false;false;04/06/2023
01534080009427;false;false;04/06/2023
01545826000107;false;false;04/06/2023
01547481000112;false;false;04/06/2023
01548981000179;false;false;04/06/2023
01552584000170;false;false;04/06/2023
01555122000107;false;false;04/06/2023
01560412000149;false;false;04/06/2023
01567033000180;false;false;04/06/2023
01581510000162;false;false;04/06/2023
01599101000193;false;false;04/06/2023
01609290000138;false;false;04/06/2023
01625700000134;false;false;04/06/2023
01639563000510;false;false;04/06/2023
01661181000160;false;false;04/06/2023
01666720000153;true;false;04/06/2023
01678134000129;false;false;04/06/2023
01685041000202;false;false;04/06/2023
01702044000126;true;false;04/06/2023
01716129000163;false;false;04/06/2023
01735143000104;true;false;04/06/2023
01774982000131;true;false;04/06/2023
01786827000135;true;false;04/06/2023
01787306000100;true;false;04/06/2023
01809535000170;true;false;04/06/2023
01813455000199;true;false;04/06/2023
01826260000183;true;true;04/06/2023
01830085000106;false;false;04/06/2023
01838637000114;true;false;04/06/2023
01838723000127;false;false;04/06/2023
01848899000160;false;false;04/06/2023
01851771000155;false;false;04/06/2023
01857567000141;false;false;04/06/2023
01864335000110;false;false;04/06/2023
01864539000151;true;false;04/06/2023
01867792000320;false;false;04/06/2023
01892831000188;true;false;04/06/2023
01896779000138;false;false;04/06/2023
01902988000147;false;false;04/06/2023
01907000000132;false;false;04/06/2023
01907064000133;true;false;04/06/2023
01918902000174;false;false;04/06/2023
01922804000100;false;false;04/06/2023
01923472000189;false;false;04/06/2023
01924669000132;false;false;04/06/2023
01924876000197;false;false;04/06/2023
01926857000108;false;false;04/06/2023
01928043000102;true;false;04/06/2023
01928798000107;false;false;04/06/2023
01933064000108;false;false;04/06/2023
01938783000111;false;false;04/06/2023
01946013000110;false;false;04/06/2023
01951517000129;true;false;04/06/2023
01957772000189;false;false;04/06/2023
01959093000149;true;false;04/06/2023
01963850000158;true;false;04/06/2023
01971614000183;false;false;04/06/2023
01975079000139;false;false;04/06/2023
01988222000127;true;false;04/06/2023
01991491000142;true;false;04/06/2023
02016256000112;true;false;04/06/2023
02020620001513;false;false;04/06/2023
02023490000177;false;false;04/06/2023
02024964000103;false;false;04/06/2023
02026598000113;false;false;04/06/2023
02058135000648;false;false;04/06/2023
